#,Name,length,height,wingspan
186,Thanasis AntetokounmpoMIL | SF,5,"6'6""","6'11"""
187,Troy Brown Jr.CHI | SF,5,"6'5.75""","6'10.75"""
188,Tyrese MaxeyPHI | PG,5,"6'2""","6'7"""
189,Evan MobleyCLE | PF,5,"6'11""","7'4"""
190,Brandon Boston Jr.LAC | SG,5,"6'5.75""","6'10.75"""
191,Herbert JonesNOP | PF,5,"6'7""","7'0"""
192,Al HorfordBOS | C,4.75,"6'8""","7'0.75"""
193,Bradley BealWAS | SG,4.75,"6'3.25""","6'8"""
194,Danny GreenPHI | SG,4.75,"6'5.25""","6'10"""
195,Jordan ClarksonUTA | SG,4.75,"6'3.25""","6'8"""
196,Maurice HarklessSAC | SF,4.75,"6'7.25""","7'0"""
197,Nicolas BatumLAC | SG,4.75,"6'8.25""","7'1"""
198,Pat ConnaughtonMIL | SG,4.75,"6'4""","6'8.75"""
199,Theo MaledonOKC | PG,4.75,"6'4""","6'8.75"""
200,Tyus JonesMEM | PG,4.75,"6'0.25""","6'5"""
201,Will BartonDEN | SG,4.75,"6'5""","6'9.75"""
202,Zeke NnajiDEN | PF,4.75,"6'9.25""","7'2"""
203,Zion WilliamsonNOP | PF,4.75,"6'5.75""","6'10.5"""
204,James BouknightCHA | SG,4.75,"6'3.5""","6'8.25"""
205,Jaden SpringerPHI | SG,4.75,"6'3""","6'7.75"""
206,Neemias QuetaSAC | C,4.75,"6'11.25""","7'4"""
207,Bobby PortisMIL | PF,4.5,"6'9.5""","7'2"""
208,Chimezie MetuSAC | C,4.5,"6'8""","7'0.5"""
209,De'Aaron FoxSAC | PG,4.5,"6'2""","6'6.5"""
210,Gary Trent Jr.TOR | SF,4.5,"6'4.25""","6'8.75"""
211,Isaac BongaTOR | SF,4.5,"6'7.5""","7'0"""
212,Isaiah JoePHI | SG,4.5,"6'3""","6'7.5"""
213,Ivica ZubacLAC | C,4.5,"6'11.5""","7'4"""
214,Jae CrowderPHX | SF,4.5,"6'4.75""","6'9.25"""
215,Jarred VanderbiltMIN | PF,4.5,"6'8.5""","7'1"""
216,Jordan NworaMIL | PF,4.5,"6'5.75""","6'10.25"""
217,Josh HartNOP | SG,4.5,"6'4""","6'8.5"""
218,Karl-Anthony TownsMIN | C,4.5,"6'11""","7'3.5"""
219,Keldon JohnsonSAS | SF,4.5,"6'4.75""","6'9.25"""
220,Luka DoncicDAL | SF,4.5,"6'6.5""","6'11"""
221,Nic ClaxtonBKN | C,4.5,"6'10""","7'2.5"""
222,Paul ReedPHI | PF,4.5,"6'9""","7'1.5"""
223,Semi OjeleyeMIL | PF,4.5,"6'5.25""","6'9.75"""
224,Sterling BrownDAL | SG,4.5,"6'5""","6'9.5"""
225,Tobias HarrisPHI | SF,4.5,"6'6.5""","6'11"""
226,Trey LylesDET | PF,4.5,"6'9""","7'1.5"""
227,Trey Murphy IIINOP | SF,4.5,"6'7.5""","7'0"""
228,Jalen JohnsonATL | PF,4.5,"6'7.75""","7'0.25"""
229,Dewayne DedmonMIA | C,4.5,"6'11.5""","7'4"""
230,Isaiah ToddWAS | PF,4.5,"6'8.75""","7'1.25"""
231,Aaron GordonDEN | PF,4.25,"6'7.5""","6'11.75"""
232,Ben McLemorePOR | SG,4.25,"6'3.5""","6'7.75"""
233,Caris LeVertIND | SF,4.25,"6'5.75""","6'10"""
234,Darius BazleyOKC | SF,4.25,"6'7.75""","7'0"""
235,Derrick WhiteSAS | PG,4.25,"6'3.25""","6'7.5"""
236,Gary HarrisORL | SG,4.25,"6'2.5""","6'6.75"""
237,Grayson AllenMIL | SG,4.25,"6'3""","6'7.25"""
238,Harrison BarnesSAC | PF,4.25,"6'7""","6'11.25"""
239,Jarrett CulverMEM | SG,4.25,"6'5.25""","6'9.5"""
240,Julius RandleNYK | PF,4.25,"6'7.75""","7'0"""
241,Kira Lewis Jr.NOP | PG,4.25,"6'0.75""","6'5"""
242,Kyle KuzmaWAS | PF,4.25,"6'8""","7'0.25"""
243,Miles BridgesCHA | PF,4.25,"6'5.25""","6'9.5"""
244,Davion MitchellSAC | PG,4.25,"6'0""","6'4.25"""
245,Jonathan KumingaGSW | SF,4.25,"6'7""","6'11.25"""
246,Alex LenSAC | C,4,"6'11.5""","7'3.5"""
247,Cedi OsmanCLE | SF,4,"6'7""","6'11"""
248,CJ McCollumPOR | SG,4,"6'2.25""","6'6.25"""
249,Darius GarlandCLE | PG,4,"6'1""","6'5"""
250,Giannis AntetokounmpoMIL | PF,4,"6'11""","7'3"""
251,Goran DragicTOR | PG,4,"6'3""","6'7"""
252,Grant WilliamsBOS | PF,4,"6'5.75""","6'9.75"""
253,Jabari ParkerBOS | SF,4,"6'7.75""","6'11.75"""
254,Jae'Sean TateHOU | SF,4,"6'4""","6'8"""
255,Jaylen NowellMIN | SG,4,"6'3.25""","6'7.25"""
256,Jevon CarterBKN | PG,4,"6'0.25""","6'4.25"""
257,Kemba WalkerNYK | PG,4,"5'11.5""","6'3.5"""
258,Kevin Knox IINYK | SF,4,"6'7.75""","6'11.75"""
259,Khris MiddletonMIL | SF,4,"6'6.75""","6'10.75"""
260,Mychal MulderGSW | SF,4,"6'3""","6'7"""
261,Patrick WilliamsCHI | SF,4,"6'7""","6'11"""
262,Saddiq BeyDET | SF,4,"6'7""","6'11"""
263,Serge IbakaLAC | C,4,"6'11""","7'3"""
264,Trent ForrestUTA | PG,4,"6'3.5""","6'7.5"""
265,Vernon Carey Jr.CHA | C,4,"6'9""","7'1"""
266,Quentin GrimesNYK | SG,4,"6'4""","6'8"""
267,Austin RiversDEN | SG,3.75,"6'3.5""","6'7.25"""
268,Devin BookerPHX | SG,3.75,"6'4.5""","6'8.25"""
269,Dylan WindlerCLE | SF,3.75,"6'6.25""","6'10"""
270,Enes FreedomBOS | C,3.75,"6'9.75""","7'1.5"""
271,Goga BitadzeIND | C,3.75,"6'10""","7'1.75"""
272,Jrue HolidayMIL | SG,3.75,"6'3.25""","6'7"""
273,Khem BirchTOR | C,3.75,"6'8.75""","7'0.5"""
274,LeBron JamesLAL | PF,3.75,"6'8.5""","7'0.25"""
275,Lonzo BallCHI | PG,3.75,"6'5.25""","6'9"""
276,Nick RichardsCHA | PF,3.75,"6'10.5""","7'2.25"""
277,Spencer DinwiddieWAS | PG,3.75,"6'4.5""","6'8.25"""
278,Willie Cauley-SteinDAL | C,3.75,"6'11.25""","7'3"""
279,Zach LaVineCHI | SG,3.75,"6'4.5""","6'8.25"""
